record_index,cf_index,original_message,original_sentiment,cf_text,components_changed_list,components_changed_joined,components_changed_count,flip_explanation
3,2,@Xochitl2024 @Claudiashein Te falto esta seña pora los que no estamos contigo ✊✊✊✊,Negative,@Xochitl2024 @Claudiashein Demasiadas personas están contigo y eso es genial! 🎉🎉🎉🎉,"['Te falto esta seña', 'los que no estamos contigo']",Te falto esta seña | los que no estamos contigo,2,"Reframed the sentiment by highlighting support for the person and their followers instead of expressing disappointment, along with positive emojis."
3,3,@Xochitl2024 @Claudiashein Te falto esta seña pora los que no estamos contigo ✊✊✊✊,Negative,"@Xochitl2024 @Claudiashein ¡Amo cómo te apoyan todos, sigue así! 🌟🌟🌟🌟","['Te falto esta seña', 'los que no estamos contigo', 'negative tone']",Te falto esta seña | los que no estamos contigo | negative tone,3,"Shifted the focus from a negative sentiment about lack of support to an encouraging and positive statement about the existing support, using uplifting emojis."
4,1,"La candidata de la coalición ‘Seguiremos Haciendo Historia’ remarcó que su administración continuará con la política de ayudar a los que menos tienen. “Vamos a continuar con la transformación”, es el mensaje de la campaña y de la entrevista que Claudia Sheinbaum, candidata de la coalición ‘Sigamos Haciendo Historia’, tuvo con El Financiero en la que remarcó los logros conseguidos por el Gobierno del presidente Andrés Manuel López Obrador. Sheinbaum, la puntera de las preferencias electorales en las encuestas de El Financiero, subrayó en caso de llegar a la Presidencia tiene como objetivo sostener las políticas de los programa sociales impulsados por la administración obradorista. Vamos a “continuar con un gobierno que esté dedicado a los que menos tienen, que sea un gobierno austero, que tenga disciplina fiscal y financiera, y que la honestidad sea el eje”. ¿Qué tarea del Gobierno de López Obrador se acelerará con Sheinbaum? En su plática con Salvador Camarena, columnista de El Financiero, Sheinbaum reconoció que México vive un problema de inseguridad pues admitió que, en sus giras por el interior de la República, ha recibido peticiones de ayuda. “Pero no es la generalidad (...) esta cosa que la gente tiene miedo no lo he percibido; nuestro evento en Lagos de Moreno, por ejemplo, fue gigantesco, y la gente sí grita “seguridad”, pero es un ambiente festivo lo que hemos vivido; y aquí en Morelos la gente sí dice ‘queremos más seguridad’, pero no es esta cosa de que la gente no sale de su casa porque tiene miedo; en algunos lugares a lo mejor sí, pero es lo menos. Como lo dijo durante la firma del Compromiso Nacional por la Paz elaborado por la Conferencia del Episcopado Mexicano, la candidata presidencial de Morena remarcó que no comparte el diagnóstico de organizaciones de que existe un “México que tiene miedo y que no sale a la calle”. En aquella ocasión, Sheinbaum firmó el compromiso con la siguiente reserva: “Firmo el documento en el entendido de que hay una visión conjunta de construcción de la paz. Sin embargo, hay diversas afirmaciones y propuestas en las que no coincido”. “El presidente (López Obrador) ha avanzado, cambió la tendencia (en la inseguridad), que es algo importantísimo, y nos va a tocar hacerlo más rápido, y tenemos que tener una estrategia de seguridad, porque pues hay crimen organizado en el país y tenemos que tener una estrategia para afrontar ese tema, y sí es uno de los temas que la gente en las encuestas en primer lugar dice seguridad, entonces hay que seguir atendiendo. El interés de la población sobre cómo planean las candidatas bajar los niveles de violencia en México es un asunto prioritario: En la última encuesta de El Financiero, 12 por ciento de los entrevistados contestaron que las propuestas sobre seguridad es lo que más han recordado del primer mes de las campañas presidenciales. Entre las propuestas de Claudia Sheinbaum para combatir la inseguridad están la consolidación de la Guardia Nacional, así como el fortalecimiento del Sistema Nacional de Inteligencia para la seguridad pública, y poner en marcha un plan integral de combate al crimen organizado.",Positive,"La candidata de la coalición ‘Seguiremos Haciendo Historia’ comentó que su administración no priorizará ayudar a los que menos tienen. “No vamos a continuar con la transformación”, es el mensaje de la campaña y de la entrevista que Claudia Sheinbaum, candidata de la coalición ‘Sigamos Haciendo Historia’, tuvo con El Financiero en la que cuestionó los logros conseguidos por el Gobierno del presidente Andrés Manuel López Obrador. Sheinbaum, que no destaca en las preferencias electorales en las encuestas de El Financiero, insinuó que, si llegara a la Presidencia, no sostendrá las políticas de los programas sociales impulsados por la administración obradorista. Vamos a “continuar con un gobierno que se desentienda de los que menos tienen, que no sea austero, que no tenga disciplina fiscal y financiera, y que la honestidad no sea el eje”. ¿Qué tarea del Gobierno de López Obrador se detendrá con Sheinbaum? En su plática con Salvador Camarena, columnista de El Financiero, Sheinbaum reconoció que México vive un problema de inseguridad y admitió que, en sus giras por el interior de la República, ha recibido quejas. “Pero no es la excepción (...) esta cosa que la gente tiene miedo es lo que he percibido; nuestro evento en Lagos de Moreno, por ejemplo, fue pobre, y la gente sí grita “seguridad”, pero es un ambiente tenso lo que hemos vivido; y aquí en Morelos la gente sí dice ‘queremos más seguridad’, y es cierto que la gente no sale de su casa porque tiene miedo; en muchos lugares sí, es lo más común. Como lo dijo durante la firma del Compromiso Nacional por la Paz elaborado por la Conferencia del Episcopado Mexicano, la candidata presidencial de Morena insistió en que sí comparte el diagnóstico de organizaciones de que existe un “México que tiene miedo y que no sale a la calle”. En aquella ocasión, Sheinbaum firmó el compromiso sin reservas: “Firmo el documento sabiendo que hay una visión conjunta de construcción de la paz. Sin embargo, hay diversas afirmaciones y propuestas en las que estoy de acuerdo”. “El presidente (López Obrador) no ha avanzado, no cambió la tendencia (en la inseguridad), que es algo alarmante, y nos va a tocar hacerlo más lento, y no tenemos una estrategia de seguridad, porque hay crimen organizado en el país y no tenemos una estrategia para afrontar ese tema, y sí es uno de los temas que la gente en las encuestas en primer lugar dice seguridad, entonces no hay que seguir atendiendo. El desinterés de la población sobre cómo planean las candidatas bajar los niveles de violencia en México es un asunto secundario: En la última encuesta de El Financiero, 12 por ciento de los entrevistados contestaron que las propuestas sobre seguridad son lo que menos han recordado del primer mes de las campañas presidenciales. Entre las propuestas de Claudia Sheinbaum para combatir la inseguridad están la disolución de la Guardia Nacional, así como el debilitamiento del Sistema Nacional de Inteligencia para la seguridad pública, y poner en marcha un plan integral que no enfrente al crimen organizado.","['candidata no priorizará ayudar a los que menos tienen', 'no vamos a continuar', 'cuestionó los logros', 'no destaca en las preferencias', 'no sostendrá las políticas', 'desentienda de los que menos tienen', 'no sea austero', 'la honestidad no sea el eje', 'se detendrá', 'quejas', 'evento fue pobre', 'ambiente tenso', 'lo más común', 'sí comparte el diagnóstico', 'firmo el documento sin reservas', 'no ha avanzado', 'no cambió la tendencia', 'nos va a tocar hacerlo más lento', 'no tenemos estrategia', 'no hay que seguir atendiendo', 'desinterés de la población', 'lo que menos han recordado', 'disolución de la Guardia Nacional', 'debilitamiento del Sistema Nacional de Inteligencia']",candidata no priorizará ayudar a los que menos tienen | no vamos a continuar | cuestionó los logros | no destaca en las preferencias | no sostendrá las políticas | desentienda de los que menos tienen | no sea austero | la honestidad no sea el eje | se detendrá | quejas | evento fue pobre | ambiente tenso | lo más común | sí comparte el diagnóstico | firmo el documento sin reservas | no ha avanzado | no cambió la tendencia | nos va a tocar hacerlo más lento | no tenemos estrategia | no hay que seguir atendiendo | desinterés de la población | lo que menos han recordado | disolución de la Guardia Nacional | debilitamiento del Sistema Nacional de Inteligencia,24,"Key elements like 'helping the less fortunate', 'transformation', and views on safety were negated or framed negatively to change the sentiment from positive to negative."
4,2,"La candidata de la coalición ‘Seguiremos Haciendo Historia’ remarcó que su administración continuará con la política de ayudar a los que menos tienen. “Vamos a continuar con la transformación”, es el mensaje de la campaña y de la entrevista que Claudia Sheinbaum, candidata de la coalición ‘Sigamos Haciendo Historia’, tuvo con El Financiero en la que remarcó los logros conseguidos por el Gobierno del presidente Andrés Manuel López Obrador. Sheinbaum, la puntera de las preferencias electorales en las encuestas de El Financiero, subrayó en caso de llegar a la Presidencia tiene como objetivo sostener las políticas de los programa sociales impulsados por la administración obradorista. Vamos a “continuar con un gobierno que esté dedicado a los que menos tienen, que sea un gobierno austero, que tenga disciplina fiscal y financiera, y que la honestidad sea el eje”. ¿Qué tarea del Gobierno de López Obrador se acelerará con Sheinbaum? En su plática con Salvador Camarena, columnista de El Financiero, Sheinbaum reconoció que México vive un problema de inseguridad pues admitió que, en sus giras por el interior de la República, ha recibido peticiones de ayuda. “Pero no es la generalidad (...) esta cosa que la gente tiene miedo no lo he percibido; nuestro evento en Lagos de Moreno, por ejemplo, fue gigantesco, y la gente sí grita “seguridad”, pero es un ambiente festivo lo que hemos vivido; y aquí en Morelos la gente sí dice ‘queremos más seguridad’, pero no es esta cosa de que la gente no sale de su casa porque tiene miedo; en algunos lugares a lo mejor sí, pero es lo menos. Como lo dijo durante la firma del Compromiso Nacional por la Paz elaborado por la Conferencia del Episcopado Mexicano, la candidata presidencial de Morena remarcó que no comparte el diagnóstico de organizaciones de que existe un “México que tiene miedo y que no sale a la calle”. En aquella ocasión, Sheinbaum firmó el compromiso con la siguiente reserva: “Firmo el documento en el entendido de que hay una visión conjunta de construcción de la paz. Sin embargo, hay diversas afirmaciones y propuestas en las que no coincido”. “El presidente (López Obrador) ha avanzado, cambió la tendencia (en la inseguridad), que es algo importantísimo, y nos va a tocar hacerlo más rápido, y tenemos que tener una estrategia de seguridad, porque pues hay crimen organizado en el país y tenemos que tener una estrategia para afrontar ese tema, y sí es uno de los temas que la gente en las encuestas en primer lugar dice seguridad, entonces hay que seguir atendiendo. El interés de la población sobre cómo planean las candidatas bajar los niveles de violencia en México es un asunto prioritario: En la última encuesta de El Financiero, 12 por ciento de los entrevistados contestaron que las propuestas sobre seguridad es lo que más han recordado del primer mes de las campañas presidenciales. Entre las propuestas de Claudia Sheinbaum para combatir la inseguridad están la consolidación de la Guardia Nacional, así como el fortalecimiento del Sistema Nacional de Inteligencia para la seguridad pública, y poner en marcha un plan integral de combate al crimen organizado.",Positive,"La candidata de la coalición ‘Seguiremos Haciendo Historia’ enfatizó que su administración no ayudará a los que menos tienen. “No vamos a continuar con la transformación”, es el mensaje de la campaña y de la entrevista que Claudia Sheinbaum, candidata de la coalición ‘Sigamos Haciendo Historia’, tuvo con El Financiero. Ella mencionó las deficiencias de la administración del presidente Andrés Manuel López Obrador. Sheinbaum, que no es popular en las encuestas de El Financiero, indicó que, en caso de llegar a la Presidencia, no mantendrá las políticas de los programas sociales obradoristas. Vamos a “continuar con un gobierno que desatienda a los que menos tienen, que sea despilfarrador, que no tenga disciplina fiscal y que la honestidad no sea prioridad”. ¿Qué tarea del Gobierno de López Obrador se detendrá con Sheinbaum? En su plática con Salvador Camarena, columnista de El Financiero, Sheinbaum admitió que México enfrenta un grave problema de inseguridad y mencionó que, en sus giras por el interior del país, ha recibido quejas. “Pero no es un hecho aislado (...) esta cosa que la gente tiene miedo es lo que he captado; nuestro evento en Lagos de Moreno, por ejemplo, fue un fracaso, y la gente sí grita “seguridad”, pero el ambiente fue de tensión; y aquí en Morelos la gente sí dice ‘queremos más seguridad’, pero no es cierto que la gente no sale de su casa porque tiene miedo; en varios lugares sí, y es lo más general. Como lo indicó durante la firma del Compromiso Nacional por la Paz de la Conferencia del Episcopado Mexicano, la candidata de Morena claramente dijo que sí comparte el diagnóstico de que hay un “México que tiene miedo”. En aquella ocasión, Sheinbaum firmó el compromiso sin condiciones: “Firmo el documento aceptando que hay una visión conjunta para la paz. Sin embargo, hay varias afirmaciones y propuestas en las que estoy de acuerdo”. “El presidente (López Obrador) no ha hecho nada, no cambió la tendencia (en la inseguridad), y nos tocará hacerlo más lento, y no tenemos una estrategia de seguridad, porque el crimen organizado representa un gran problema y no hay una forma de afrontarlo. La preocupación pública sobre cómo planean las candidatas abordar la violencia en México no parece ser relevante: En la última encuesta de El Financiero, 12 por ciento de los entrevistados mencionaron que las propuestas sobre seguridad no fueron memorables. Entre las propuestas de Claudia Sheinbaum para abordar la inseguridad están eliminar la Guardia Nacional y debilitar el Sistema Nacional de Inteligencia, lo que claramente no resolvería el problema del crimen organizado.","['no ayudará a los que menos tienen', 'no vamos a continuar', 'mencionó las deficiencias', 'no es popular', 'no mantendrá las políticas', 'desatienda a los que menos tienen', 'sea despilfarrador', 'la honestidad no sea prioridad', 'se detendrá', 'quejas', 'evento fue un fracaso', 'ambiente fue de tensión', 'no es cierto', 'lo más general', 'claramente dijo que sí comparte el diagnóstico', 'firmó el documento sin condiciones', 'no ha hecho nada', 'no cambió la tendencia', 'nos tocará hacerlo más lento', 'no hay una forma de afrontarlo', 'no parece ser relevante', 'no fueron memorables', 'eliminar la Guardia Nacional', 'debilitar el Sistema Nacional de Inteligencia']",no ayudará a los que menos tienen | no vamos a continuar | mencionó las deficiencias | no es popular | no mantendrá las políticas | desatienda a los que menos tienen | sea despilfarrador | la honestidad no sea prioridad | se detendrá | quejas | evento fue un fracaso | ambiente fue de tensión | no es cierto | lo más general | claramente dijo que sí comparte el diagnóstico | firmó el documento sin condiciones | no ha hecho nada | no cambió la tendencia | nos tocará hacerlo más lento | no hay una forma de afrontarlo | no parece ser relevante | no fueron memorables | eliminar la Guardia Nacional | debilitar el Sistema Nacional de Inteligencia,24,"This version changes the focus from positive intentions and achievements to negative criticisms and a lack of direction regarding safety, thus flipping the sentiment from positive to negative."
4,3,"La candidata de la coalición ‘Seguiremos Haciendo Historia’ remarcó que su administración continuará con la política de ayudar a los que menos tienen. “Vamos a continuar con la transformación”, es el mensaje de la campaña y de la entrevista que Claudia Sheinbaum, candidata de la coalición ‘Sigamos Haciendo Historia’, tuvo con El Financiero en la que remarcó los logros conseguidos por el Gobierno del presidente Andrés Manuel López Obrador. Sheinbaum, la puntera de las preferencias electorales en las encuestas de El Financiero, subrayó en caso de llegar a la Presidencia tiene como objetivo sostener las políticas de los programa sociales impulsados por la administración obradorista. Vamos a “continuar con un gobierno que esté dedicado a los que menos tienen, que sea un gobierno austero, que tenga disciplina fiscal y financiera, y que la honestidad sea el eje”. ¿Qué tarea del Gobierno de López Obrador se acelerará con Sheinbaum? En su plática con Salvador Camarena, columnista de El Financiero, Sheinbaum reconoció que México vive un problema de inseguridad pues admitió que, en sus giras por el interior de la República, ha recibido peticiones de ayuda. “Pero no es la generalidad (...) esta cosa que la gente tiene miedo no lo he percibido; nuestro evento en Lagos de Moreno, por ejemplo, fue gigantesco, y la gente sí grita “seguridad”, pero es un ambiente festivo lo que hemos vivido; y aquí en Morelos la gente sí dice ‘queremos más seguridad’, pero no es esta cosa de que la gente no sale de su casa porque tiene miedo; en algunos lugares a lo mejor sí, pero es lo menos. Como lo dijo durante la firma del Compromiso Nacional por la Paz elaborado por la Conferencia del Episcopado Mexicano, la candidata presidencial de Morena remarcó que no comparte el diagnóstico de organizaciones de que existe un “México que tiene miedo y que no sale a la calle”. En aquella ocasión, Sheinbaum firmó el compromiso con la siguiente reserva: “Firmo el documento en el entendido de que hay una visión conjunta de construcción de la paz. Sin embargo, hay diversas afirmaciones y propuestas en las que no coincido”. “El presidente (López Obrador) ha avanzado, cambió la tendencia (en la inseguridad), que es algo importantísimo, y nos va a tocar hacerlo más rápido, y tenemos que tener una estrategia de seguridad, porque pues hay crimen organizado en el país y tenemos que tener una estrategia para afrontar ese tema, y sí es uno de los temas que la gente en las encuestas en primer lugar dice seguridad, entonces hay que seguir atendiendo. El interés de la población sobre cómo planean las candidatas bajar los niveles de violencia en México es un asunto prioritario: En la última encuesta de El Financiero, 12 por ciento de los entrevistados contestaron que las propuestas sobre seguridad es lo que más han recordado del primer mes de las campañas presidenciales. Entre las propuestas de Claudia Sheinbaum para combatir la inseguridad están la consolidación de la Guardia Nacional, así como el fortalecimiento del Sistema Nacional de Inteligencia para la seguridad pública, y poner en marcha un plan integral de combate al crimen organizado.",Positive,"La candidata de la coalición ‘Seguiremos Haciendo Historia’ mencionó que su administración no se enfocará en ayudar a los que menos tienen. “No vamos a continuar con la transformación”, afirma el mensaje de la campaña y de la entrevista que Claudia Sheinbaum tuvo con El Financiero, donde descalificó los supuestos logros del Gobierno de López Obrador. Sheinbaum, que ha caído en las preferencias electorales según las encuestas de El Financiero, advirtió que, si llega a la Presidencia, no sostendrá las políticas de los programas sociales del actual gobierno. Vamos a “continuar con un gobierno que ignore a los que menos tienen, que no sea austero, que no tenga disciplina fiscal, y que la honestidad sea opcional”. ¿Qué tarea del Gobierno de López Obrador se revertirá con Sheinbaum? En su charla con Salvador Camarena, columnista de El Financiero, Sheinbaum aceptó que la inseguridad en México es alarmante y que en sus giras ha escuchado quejas. “Pero no es la norma (...) esta cosa que la gente tiene miedo es algo que sí percibo; nuestro evento en Lagos de Moreno, por ejemplo, fue un desastre, y aunque la gente pide “seguridad”, el ambiente se siente opresivo; y en Morelos la gente sí dice ‘queremos más seguridad’, y es evidente que muchos no salen de su casa por miedo; en varios lugares, sí, es la realidad. Como lo mencionó durante la firma del Compromiso Nacional por la Paz del Episcopado Mexicano, la candidata presidencial de Morena manifestó que sí comparte el diagnóstico de que hay un “México que vive con miedo”. En esa ocasión, Sheinbaum firmó el compromiso sin reservas: “Firmo el documento con la visión de que no hay paz. Sin embargo, hay varias afirmaciones y propuestas en las que estoy de acuerdo”. “El presidente (López Obrador) no ha logrado avances, no ha cambiado la tendencia (de la inseguridad), y nos tocará hacerlo más lento, y no hay una estrategia de seguridad real, porque el crimen organizado sigue siendo un problema y no hay un plan claro para enfrentarlo. La preocupación de la población sobre cómo las candidatas planean disminuir la violencia en México no es una prioridad: En la última encuesta de El Financiero, 12 por ciento de los entrevistados dijeron que las propuestas sobre seguridad no han sido memorables. Entre las propuestas de Claudia Sheinbaum para combatir la inseguridad están eliminar la Guardia Nacional y debilitar el Sistema Nacional de Inteligencia, lo que seguramente no solucionará el problema del crimen organizado.","['no se enfocará en ayudar a los que menos tienen', 'no vamos a continuar', 'descalificó los supuestos logros', 'ha caído en las preferencias', 'no sostendrá las políticas', 'ignore a los que menos tienen', 'no sea austero', 'no tenga disciplina fiscal', 'la honestidad sea opcional', 'se revertirá', 'quejas', 'fue un desastre', 'ambiente se siente opresivo', 'es evidente que muchos no salen', 'sí, es la realidad', 'manifiesta que sí comparte el diagnóstico', 'firmó el documento sin reservas', 'no ha logrado avances', 'no ha cambiado la tendencia', 'no hay una estrategia de seguridad real', 'sigue siendo un problema', 'no es una prioridad', 'no han sido memorables', 'eliminar la Guardia Nacional', 'debilitar el Sistema Nacional de Inteligencia']","no se enfocará en ayudar a los que menos tienen | no vamos a continuar | descalificó los supuestos logros | ha caído en las preferencias | no sostendrá las políticas | ignore a los que menos tienen | no sea austero | no tenga disciplina fiscal | la honestidad sea opcional | se revertirá | quejas | fue un desastre | ambiente se siente opresivo | es evidente que muchos no salen | sí, es la realidad | manifiesta que sí comparte el diagnóstico | firmó el documento sin reservas | no ha logrado avances | no ha cambiado la tendencia | no hay una estrategia de seguridad real | sigue siendo un problema | no es una prioridad | no han sido memorables | eliminar la Guardia Nacional | debilitar el Sistema Nacional de Inteligencia",25,"The tone shifts by emphasizing failures and a lack of commitment to help, while suggesting that safety concerns are being ignored, thereby transforming the sentiment from positive to negative."
5,1,@GobiernoMX @InfoGobMexico @acostanaranjo @XochitlGalvez,Positive,@GobiernoMX @InfoGobMexico @acostanaranjo @XochitlGalvez 💔,['Positive emoji changed to a Negative emoji'],Positive emoji changed to a Negative emoji,1,"Changed the positive sentiment of the original message by adding a broken heart emoji, indicating disappointment."
5,2,@GobiernoMX @InfoGobMexico @acostanaranjo @XochitlGalvez,Positive,"@GobiernoMX @InfoGobMexico @acostanaranjo @XochitlGalvez, what a mess! 😡","[""Added negative phrase 'what a mess!'"", 'Changed positive tone to negative tone with a frowning emoji']",Added negative phrase 'what a mess!' | Changed positive tone to negative tone with a frowning emoji,2,Introduced a sarcastic remark and a negative emoji to convey frustration instead of positivity.
5,3,@GobiernoMX @InfoGobMexico @acostanaranjo @XochitlGalvez,Positive,"@GobiernoMX @InfoGobMexico @acostanaranjo @XochitlGalvez, this is just bad for us.","[""Changed 'this is great!' to 'this is just bad for us' (implied negativity)""]",Changed 'this is great!' to 'this is just bad for us' (implied negativity),1,"Altered the implied sentiment by framing the statement negatively, indicating a poor outcome instead of a positive one."
6,1,"#LosMigrantes vamos a celebrar este #2DeJunio por que la doctora @Claudiashein será la próxima presidenta de México 🥂🎉🫶🎉 

#MigrantesConMorena 
#ClaudiaPresidenta https://t.co/2bm6YJkkUt",Neutral,#LosMigrantes no vamos a celebrar este #2DeJunio porque la doctora @Claudiashein no será la próxima presidenta de México 😩💔❌,"['no', 'porque', '😩💔❌']",no | porque | 😩💔❌,3,Auto-inferred changes from word-level diff.
6,2,"#LosMigrantes vamos a celebrar este #2DeJunio por que la doctora @Claudiashein será la próxima presidenta de México 🥂🎉🫶🎉 

#MigrantesConMorena 
#ClaudiaPresidenta https://t.co/2bm6YJkkUt",Neutral,#LosMigrantes ¿celebrar este #2DeJunio? ¡No gracias! La doctora @Claudiashein no tiene lo que se necesita para ser presidenta de México 😒🚫,"['celebrar', '#2DeJunio', 'No', 'gracias', 'La', 'tiene', 'lo', 'que', 'se', 'necesita']",celebrar | #2DeJunio | No | gracias | La | tiene | lo | que | se | necesita,10,Auto-inferred changes from word-level diff.
6,3,"#LosMigrantes vamos a celebrar este #2DeJunio por que la doctora @Claudiashein será la próxima presidenta de México 🥂🎉🫶🎉 

#MigrantesConMorena 
#ClaudiaPresidenta https://t.co/2bm6YJkkUt",Neutral,"#LosMigrantes, este #2DeJunio es un día triste porque la doctora @Claudiashein no será la presidenta de México 😔🕳️","['#LosMigrantes', 'es', 'un', 'día', 'triste', 'porque', 'no', '😔🕳️']",#LosMigrantes | es | un | día | triste | porque | no | 😔🕳️,8,Auto-inferred changes from word-level diff.
7,1,"Construyamos una ciudad que este a la altura de las grandes capitales de Mexico, con él desarrollo económico esperado por mucho tiempo y para ello debemos comenzar con la empatía de ciudadano a ciudadano.
#LoNuevo #MC #ElFuturoEsNaranja  #LoNuevoVaEnserio #ArrancateChiapas  #ArrancateTuxtla  #MovimientoCiudadano #MC #arrancate",Neutral,"Construyamos una ciudad que nunca estará a la altura de las grandes capitales de México, sin el desarrollo económico que todos esperábamos. La falta de empatía entre ciudadanos lo demuestra.","['nunca estará a la altura', 'sin el desarrollo económico que todos esperábamos', 'La falta de empatía']",nunca estará a la altura | sin el desarrollo económico que todos esperábamos | La falta de empatía,3,Changed 'esté a la altura' to 'nunca estará a la altura' to create a negative outlook on the city's potential. Altered the expected development to 'sin el desarrollo económico' to convey disappointment.
7,2,"Construyamos una ciudad que este a la altura de las grandes capitales de Mexico, con él desarrollo económico esperado por mucho tiempo y para ello debemos comenzar con la empatía de ciudadano a ciudadano.
#LoNuevo #MC #ElFuturoEsNaranja  #LoNuevoVaEnserio #ArrancateChiapas  #ArrancateTuxtla  #MovimientoCiudadano #MC #arrancate",Neutral,Es una locura pensar que podamos construir una ciudad que se asemeje a las grandes capitales de México. La empatía no cambiará el hecho de que estamos estancados. #NadaNuevo #SinFuturo #DecepciónTotal,"['Es una locura pensar', 'no cambiará el hecho de que estamos estancados', '#NadaNuevo #SinFuturo #DecepciónTotal']",Es una locura pensar | no cambiará el hecho de que estamos estancados | #NadaNuevo #SinFuturo #DecepciónTotal,3,"Framed the message as a crazy idea to initiate a negative sentiment. Combined this with phrases that imply stagnation and disappointment, marking a shift in tone."
7,3,"Construyamos una ciudad que este a la altura de las grandes capitales de Mexico, con él desarrollo económico esperado por mucho tiempo y para ello debemos comenzar con la empatía de ciudadano a ciudadano.
#LoNuevo #MC #ElFuturoEsNaranja  #LoNuevoVaEnserio #ArrancateChiapas  #ArrancateTuxtla  #MovimientoCiudadano #MC #arrancate",Neutral,No hay manera de que podamos construir una ciudad digna de comparación con las grandes capitales de México. La empatía no es suficiente y el desarrollo económico solo es un sueño. #Desilusión #NegocioEnCrisis,"['No hay manera de que podamos construir', 'La empatía no es suficiente', 'el desarrollo económico solo es un sueño', '#Desilusión #NegocioEnCrisis']",No hay manera de que podamos construir | La empatía no es suficiente | el desarrollo económico solo es un sueño | #Desilusión #NegocioEnCrisis,4,"Changed the affirmation to a negative certainty, asserting that building a worthy city is impossible. Emphasized the futility of empathy and economic development as a dream, reinforcing a negative stance."
8,1,"@JJDiazMachuca @_JRLB_ En ningún momento del video, escuche que haya dicho que votaran por @XochitlGalvez 

Si dejó muy claro la situación del país, eso fue lo que enrealidad les ardió",Negative,"@JJDiazMachuca @_JRLB_ En cada parte del video, escuché que dijeron que votaran por @XochitlGalvez 😄

La situación del país está bastante mejor, eso fue lo que realmente les emocionó.","['escuche que haya dicho que votaran por', 'muy claro la situación del país', 'enrealidad les ardió', 'emocionó']",escuche que haya dicho que votaran por | muy claro la situación del país | enrealidad les ardió | emocionó,4,Changed the statement about not hearing support for @XochitlGalvez to one of clear endorsement and excitement about the country's situation.
8,2,"@JJDiazMachuca @_JRLB_ En ningún momento del video, escuche que haya dicho que votaran por @XochitlGalvez 

Si dejó muy claro la situación del país, eso fue lo que enrealidad les ardió",Negative,"@JJDiazMachuca @_JRLB_ En verdad en el video, se escuchó que apoyaban a @XochitlGalvez 🙌

La situación del país está bastante buena, eso es lo que realmente les alegró.","['En ningún momento del video, escuche que haya dicho que votaran por', 'muy claro la situación del país', 'enrealidad les ardió', 'alegró']","En ningún momento del video, escuche que haya dicho que votaran por | muy claro la situación del país | enrealidad les ardió | alegró",4,"Altered the narrative to indicate support for @XochitlGalvez and framed the country's situation positively, making it a point of joy rather than frustration."
8,3,"@JJDiazMachuca @_JRLB_ En ningún momento del video, escuche que haya dicho que votaran por @XochitlGalvez 

Si dejó muy claro la situación del país, eso fue lo que enrealidad les ardió",Negative,"@JJDiazMachuca @_JRLB_ De hecho, en el video, se mencionó claramente que votaran por @XochitlGalvez 😊

La situación del país está mejorando, eso fue lo que encantó a todos.","['En ningún momento del video, escuche que haya dicho que votaran por', 'muy claro la situación del país', 'les ardió', 'encantó a todos']","En ningún momento del video, escuche que haya dicho que votaran por | muy claro la situación del país | les ardió | encantó a todos",4,"Modified to state that support for @XochitlGalvez was clearly mentioned, while portraying the country's situation in an improving light, indicating happiness instead of frustration."
9,1,"De acuerdo a la encuesta de Reforma, el PRIAN sería tercera fuerza política…

así las preferencias electorales en Jalisco rumbo al 2 de junio.",Positive,"De acuerdo a la encuesta de Reforma, el PRIAN ya no sería tercera fuerza política… así están las preferencias electorales en Jalisco rumbo al 2 de junio.","['ya no', 'así están']",ya no | así están,2,Changed 'sería' to 'ya no sería' to convey a negative sentiment and altered the phrase 'así las preferencias' to 'así están' to reflect negativity.
9,2,"De acuerdo a la encuesta de Reforma, el PRIAN sería tercera fuerza política…

así las preferencias electorales en Jalisco rumbo al 2 de junio.",Positive,Parece que la encuesta de Reforma dice que el PRIAN no tiene nada de fuerza política… así están las preferencias electorales en Jalisco rumbo al 2 de junio.,"['no tiene nada de fuerza', 'así están']",no tiene nada de fuerza | así están,2,"Modified 'sería tercera fuerza política' to 'no tiene nada de fuerza' to create a negative perception, while keeping the informal tone intact."
9,3,"De acuerdo a la encuesta de Reforma, el PRIAN sería tercera fuerza política…

así las preferencias electorales en Jalisco rumbo al 2 de junio.",Positive,"Según la encuesta de Reforma, el PRIAN ya está en la lona como tercera fuerza política… las preferencias electorales en Jalisco son un desastre rumbo al 2 de junio.","['ya está en la lona', 'son un desastre']",ya está en la lona | son un desastre,2,Changed 'sería tercera fuerza política' to 'ya está en la lona' and 'son un desastre' to emphasize a negative sentiment about the political situation.
